Net demand,,,,,,,,,,,,,,,,,,,,,,,,
Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"Scenario SB,  Case DH",42.9,42.9,42.7,42.2,41.8,41.1,45.1,53.9,53.9,55.1,56.4,54.8,54.9,55,55.1,56.4,63.3,62.6,60.1,59.5,58.9,52.6,46.4,44.9
"Scenario SB,  Case DL",39.3,39.3,39.1,38.6,38.2,37.5,40.1,48.9,48.9,50.1,51.4,49.7,49.9,50,50.2,51.4,58.3,57.6,55.1,54.5,53.9,47.6,41.4,40
"Scenario SB,  Case EH",42.9,42.8,42.7,42.2,41.8,40.9,45.1,53.9,53.9,55.1,56.4,54.8,54.9,55,55.1,56.4,63.3,62.6,60.1,59.5,58.9,52.6,46.4,44.9
"Scenario SB,  Case EL",39.3,39.1,39,38.4,38,37.4,40.1,48.9,48.9,50.1,51.4,49.8,49.9,50,51.3,51.4,58.2,57.6,55.1,54.5,53.9,47.6,41.4,39.9
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Scenario PD, Case D",42.7,42.6,41.7,41.2,40.8,40.1,45.1,52.6,52.5,50.7,52.8,52.6,54.2,55,55.1,56.4,61.6,61.5,60.1,59.5,58.9,52.6,46.4,44.9
"Scenario PD, Case E",42.7,42.6,41.7,41.2,40.8,40.1,45.1,52.6,52.5,50.7,52.8,52.6,54.2,55,55.1,56.4,61.6,61.5,60.1,59.5,58.9,52.6,46.4,44.9
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Scenario SHP,  Case DH",42.9,42.9,42.7,42.2,41.8,41.1,45.3,54,54,55.2,56.5,54.9,55,55.1,55.3,56.5,63.4,62.8,60.3,59.7,59,52.8,46.5,45
"Scenario SHP,  Case DL",39.2,39.1,38.9,38.4,38,37.4,40,48.8,48.8,50,51.3,49.6,49.8,49.8,50,51.3,58.1,57.5,55,54.4,53.8,47.6,41.3,39.8
"Scenario SHP,  Case EH",42.9,42.8,42.7,42.2,41.8,41.1,45.3,54,54,55.2,56.5,54.9,55,55.1,55.3,56.5,63.3,62.8,60.3,59.7,59,52.8,46.5,45
"Scenario SHP,  Case EL",39.2,39.1,38.9,38.4,38,37.4,40,48.8,48.8,50,51.3,49.6,49.8,49.8,50,51.3,58.1,57.5,55,54.4,53.8,47.5,41.3,39.8
